,tv_model,category,price,dimension,discounted,discount_rate,reviews,brand,num_of_reviews
0,SAMSUNG - Smart TV Crystal UHD 4K 50” UE50AU7170-Titan Gray,Tv 4K,"€ 370,00",Dimensione schermo-pollici : 50 pollici,False,,"[' Davvero un ottimo acquisto, facile da usare e con tutte le app per vedere le serie tv ', ' Sinceramente soddisfatto. Si vede molto bene e anche l’audio è ben asoltabile. ', "" Arrivo TV intatta l'unica pecca che ho pagato il servizio di montaggio e sintonizzazione    ma a quanto pare il corriere non aveva voglia , ha lasciato il cartone della tv ed è scappato via non dando nemmeno il tempo di parlare "", "" PRODOTTO MOLTO VALIDO CHE CONOSCO IN QUANTO ACQUISTATO DA AMICI, MA ASPETTO L'ISTLLAIONE PER DARE VALUTAZIONI ""]",SAMSUNG ,4
1,"HISENSE - Smart TV LED UHD 4K 85"" 85A6DG-Black",Tv 4K,"€ 1.099,00",Dimensione schermo-pollici : 85 pollici,True,-42.0%,[],HISENSE ,0
2,"HISENSE - Smart Tv Full Hd 40"" 40A4DG-Black",Smart TV,"€ 259,00",Dimensione schermo-pollici : 40 pollici,True,-13.0%,[],HISENSE ,0
3,"TELEFUNKEN - Smart TV LED FHD 40"" TE40550B42V2H/E-Nero",Smart TV,"€ 219,00",Dimensione schermo-pollici : 40 pollici,True,-27.0%,[],TELEFUNKEN ,0
4,"LG - Smart TV LED UHD 4K 55"" 55UQ75006LF-Ceramic Black",Tv 4K,"€ 388,00",Dimensione schermo-pollici : 55 pollici,True,-40.0%,"[' Dopo aver cercato a lungo il miglior prezzo in giro, alla fine la promo di halloween di LG era la migliore!La tv va alla grande, veloce, colori belli, web os ha una marcia in più.La cosa che mi ha fatto scegliere proprio questo modello è stata l’integrazione con HomeKit di Apple.La spedizione è stata veloce, il corriere puntale e corretto.Mi hanno avvisato 30 minuti prima di arrivare, mi hanno portato il TV in casa, disimballato è fatta la prima accensione, con tanto di sintonizzazione dei canali. ', "" Ho comprato la TV da un paio di settimane, cercavo un prodotto moderno con le ultime funzionalità e microprocessore senza spendere un occhi, tra 50 e 55  pollici. Per ora la TV si dimostrata perfetta per lo scopo. Ottima immagine,  facile ed intuitiva nell'uso.Magari un supporto più moderno migliorerebbe l'estetica. "", ' ho comprato il televisore ottima relazione qualità prezzo complimenti ']",LG ,3
5,SAMSUNG - Smart TV Crystal UHD 4K 55” UE55AU7170-Titan Gray,Tv 4K,"€ 449,90",Dimensione schermo-pollici : 55 pollici,False,,"[' Mi è stato permesso di testare questo prodotto per dare la mia opinione onesta al riguardo. Questa TV ha uno schermo chiaro e ha anche un bel suono. Altamente raccomandato! ', "" Ottimo prodotto in termini di qualita' di immagini . Unico neo è  l audio , da migliorare ""]",SAMSUNG ,2
6,"HISENSE - Smart TV UHD 4K 65"" 65A6HG-Black",Tv 4K,"€ 499,00",Dimensione schermo-pollici : 65 pollici,True,-38.0%,[' Ho comprato 3  fa   sono molto soddisfatta   operai molto gentili '],HISENSE ,1
7,SAMSUNG - Smart TV Crystal UHD 4K 65” UE65AU7170-Titan Gray,Tv 4K,"€ 639,00",Dimensione schermo-pollici : 65 pollici,False,,[' I prodotti Samsung sono sempre una garanzia.soddisfatto.. '],SAMSUNG ,1
8,LG - Smart TV UHD 4K 65'' 65UQ75006LF-Ceramic Black,Tv 4K,"€ 799,00",Dimensione schermo-pollici : 65 pollici,False,,"[' Dopo aver cercato a lungo il miglior prezzo in giro, alla fine la promo di halloween di LG era la migliore!La tv va alla grande, veloce, colori belli, web os ha una marcia in più.La cosa che mi ha fatto scegliere proprio questo modello è stata l’integrazione con HomeKit di Apple.La spedizione è stata veloce, il corriere puntale e corretto.Mi hanno avvisato 30 minuti prima di arrivare, mi hanno portato il TV in casa, disimballato è fatta la prima accensione, con tanto di sintonizzazione dei canali. ', "" Ho comprato la TV da un paio di settimane, cercavo un prodotto moderno con le ultime funzionalità e microprocessore senza spendere un occhi, tra 50 e 55  pollici. Per ora la TV si dimostrata perfetta per lo scopo. Ottima immagine,  facile ed intuitiva nell'uso.Magari un supporto più moderno migliorerebbe l'estetica. "", ' ho comprato il televisore ottima relazione qualità prezzo complimenti ']",LG ,3
9,"LG - Smart TV OLED evo 4K 77"" OLED77C26LD-Beige",Tv 4K,"€ 2.827,00",Dimensione schermo-pollici : 77 pollici,True,-11.0%,"[' Dopo un attesa trepidante di 7 giorni è finalmente arrivato il tv 55 pollici! Il marchio LG come sempre è una garanzia di qualità e anche stavolta mi ha sorpreso per la nitidezza delle immagini, il design minimal della cornice e la varietà delle applicazioni interne precaricate. Il meglio della perfezione immagine è in presenza di contenuti in 4k hd e non ha davvero paragoni. I pixel auto-illuminanti e la risoluzione 4K permettono una visione delle immagini ultra definite in ogni condizione di luce. Il processore di ultima generazione permette una flessibilità di utilizzo considerevole, e l esperienza in modalità gaming è ottimale. Forza LG! ', "" Spedizione rapida e senza problemi, TV arrivato imballato in maniera sicura. Quando vuoi tirarlo fuori dalla scatola bisogna trovare la giusta presa per paura di romperlo. Una volta accesso la configurazione e facile e intuitiva. Il pannello OLED è uno spettacolo colori vivaci e il nero è veramente un altro mondo rispetto alla tecnologia a led. Qualsiasi cosa guardi la visione è eccezionale e finalmente durante le partite di calcio la palla non la vedi senza quella scia fastidiosa. L'unica cosa dove non mi trovo molto comodo e la funzione puntatore del mouse ma credo che sia più in problema mio di abitudine. Consiglio questo prodotto assolutamente "", ' Siamo veramente sorpresi di quanto siano definite le immagini su\xa0questa\xa0TV, si è adattata immediatamente all\'ambiente, la funzione di screensaver con tv ""spenta"" la rende anche un elemento di arredo aggiuntivo.L\'audio con la modalità montata a muro è accettabile\xa0anche senza supporti aggiuntivi (impianto audio tipo soundbar o sorround).WebOS nuovo è stato migliorato parecchio, ma rimane intuitivo e di facile utilizzo. L\'integrazione degli assistenti vocali è un plus che rende possibile spostare eventuali supporti (google home o alexa) in altre stanze perché sostituiti da questo tv.Se dovessi dare un voto a questo TV sarebbe sicuramente un 9 su 10. ', "" Televisore che già da spento ti sorprende per il design; cornice estremamente sottile e piedistallo color acciaio spazzolato che fa la sua figura in qualsiasi ambiente venga collocato. Una volta acceso si rimane impressionati dalla nitidezza e dall'elevato contrasto delle immagini; anche con illuminazione intensa della stanza non si notano differenze sostanziali. Altro punto di forza di questo Tv è la presenza di numerose porte di ingresso (4 HDMI, 3 USB, Ethernet) e tutte situate lateralmente in modo da non interferire se il Tv viene installato a parete. Unico appunto è la troppa sensibilità del puntatore del telecomando. "", ' Compré este televisor hace unos días, y no podríamos estar más encantados con ella, con su impactante imagen de 77"", con un procesador rápido, la calidad de la imagen es excelente.En resumen, esta TV es un 4x4, pero un 4x4 de lujo, la cuál no cojea en ningún aspecto, viene muy bien equipada en cuanto a conexiones y apps disponibles típicas de los SmartTV de hoy día (Netflix, Prime Video, Disney+, etc). Su precio, sin llegar a ser una ganga, creo que está bastante bien para lo que trae, sobretodo si la comparamos con otros monitores de PC que la doblan en precio y, a la hora de la verdad, no tiene nada que envidiarles. ', ' (Esta reseña se ha recibido a través de una promoción.) El Televisor tiene poco que comentar, la verdad es una pasada, la imagen, el panel, el diseño, todo es increíble.Como comentarios a mejorar, pues estaría muy bien que el sistema operativo, fuese un poco más moldeable.Y como hardware a mejorar la experiencia, el mando. El mando es de material tipo plástico y podría ser del mismo acabado que la Peana, da una sensación poco premium para el panel del que estamos hablando. Y como detalle final, pues algo que nunca veo y sería muy útil, añadirle una retroiluminación a los botones del mismo mando, ya que en momentos de iluminación tenue pues se agradecería. ', ' Ich bin von einem Top Plasma in 55 Zoll (Bild immer noch sehr gut) umgestiegen auf den C2 Oled in 77 Zoll. Meine Erwartungen waren dementsprechend hoch. Die Begeisterung fängt schon beim Auspacken an, superdünner Rahmen und für die Größe ein Leichtgewicht, sehr schickes Design. Was soll ich sagen, das Bild ist perfekt. Schwarzwerte top, Farben und Dynamik meines Erachtens oberste Liga. Bei entsprechend guten Quellmaterial gestochen scharfe Details. Ich war fasziniert von allen Details bei Book of Boba Fett. Jede Szene erscheint fast surreal real, man taucht richtig in das Bild ein. Ich bin begeistert, so macht Filme und Serien schauen richtig viel Spaß. Ein Masterpiece Gerät :-) ', ' (Esta reseña se ha recibido a través de una promoción.) Mi mujer y yo nos hemos comprado una casa nueva, teníamos muy claro que la televisión a comprar debía estar a la altura... y hemos acertado de pleno. La calidad de imagen es espectacular, me he sentido sobrecogido simplemente al ver la animación de inicio de Netflix. Además la mejora de imagen y sonido que hace el sistema de inteligencia artificial se nota, y es muy cómodo el que integre los servicios de streaming que usamos.Al ser una televisión tan grande tenía cierta preocupación por si el soporte iba a ser estable, ya que de momento no la colgaré de la pared, pero al montarlo he visto que no tengo nada que temer.La verdad es que estamos supercontentos con esta compra. ']",LG ,8
